09:02:36.336873 lo    In  IP 127.0.0.1.51032 > 127.0.0.53.53: 25961+ [1au] A? 5643775.attacker.test. (50)
09:02:36.337099 eth0  Out IP 192.0.2.10.60304 > 192.0.2.220.53: 7311+ [1au] A? 5643775.attacker.test. (50)
09:02:36.347445 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 0 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.347508 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 1 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.347532 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 2 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.347552 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 3 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.347572 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 4 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.347591 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 5 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.347610 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 6 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.347624 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 7 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.347638 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 8 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.347652 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 9 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
09:02:36.347666 eth0  In  IP 192.0.2.220.53 > 192.0.2.10.51032: 10 3/0/1 CNAME example.com., A 6.6.6.213, AAAA aaaa:aaaa:aaaa:aaaa:: (119)
